user_id,speed_strategy,speed_mean_log2,speed_seconds_per_tag,speed_timestamped_assignments,pattern_strategy,pattern_vertical_strategy,pattern_count_NNNN,pattern_count_YYY,pattern_count_YYYY,pattern_vertical_count_NNNN,pattern_vertical_count_YYYY,agreement_cohens_kappa,agreement_percent_agreement
10019,LogTrimTaggingSpeed,0.881218,1.84193,102,HorizontalPatternDetection,VerticalPatternDetection,,,4,,3,0.5,0.022942
10103,LogTrimTaggingSpeed,0.950881,1.933053,363,HorizontalPatternDetection,VerticalPatternDetection,,,17,,13,0.888889,0.022566
10176,LogTrimTaggingSpeed,1.073089,2.103934,393,HorizontalPatternDetection,VerticalPatternDetection,,,15,,9,0.75,0.013037
10177,LogTrimTaggingSpeed,1.120732,2.174573,735,HorizontalPatternDetection,VerticalPatternDetection,,,39,,34,1,0.029901
10178,LogTrimTaggingSpeed,1.094979,2.136099,261,HorizontalPatternDetection,VerticalPatternDetection,,,12,,10,0.888889,0.020392
10179,LogTrimTaggingSpeed,1.257701,2.391145,405,HorizontalPatternDetection,VerticalPatternDetection,,,15,,10,0.466667,0.008027
10181,LogTrimTaggingSpeed,1.15615,2.228619,491,HorizontalPatternDetection,VerticalPatternDetection,,,21,,14,0.533333,0.0158
10182,LogTrimTaggingSpeed,0.655826,1.575518,651,HorizontalPatternDetection,VerticalPatternDetection,,,20,,16,0.954545,0.034082
10183,LogTrimTaggingSpeed,1.144212,2.210254,816,HorizontalPatternDetection,VerticalPatternDetection,,,39,,35,1,0.028711
10186,LogTrimTaggingSpeed,1.645604,3.128789,699,HorizontalPatternDetection,VerticalPatternDetection,,,30,,23,0.7,0.016965
10187,LogTrimTaggingSpeed,1.278131,2.425246,291,HorizontalPatternDetection,VerticalPatternDetection,,,15,,12,0.888889,0.020392
10189,LogTrimTaggingSpeed,0.422065,1.339844,517,HorizontalPatternDetection,VerticalPatternDetection,,,28,,20,0.633333,0.015103
10190,,,,,,,,,,,,0,0
10191,LogTrimTaggingSpeed,0.977271,1.968738,406,HorizontalPatternDetection,VerticalPatternDetection,,,16,,11,0.6,0.020859
10192,LogTrimTaggingSpeed,0.53165,1.445582,591,HorizontalPatternDetection,VerticalPatternDetection,,,31,,27,0.4,0.012796
10193,LogTrimTaggingSpeed,1.280208,2.428739,663,HorizontalPatternDetection,VerticalPatternDetection,,,34,,27,1,0.038943
10194,LogTrimTaggingSpeed,0.755954,1.688748,306,HorizontalPatternDetection,VerticalPatternDetection,,,14,,13,0.666667,0.01935
10195,LogTrimTaggingSpeed,1.448694,2.729609,169,HorizontalPatternDetection,VerticalPatternDetection,,,7,,3,1,0.034765
10196,LogTrimTaggingSpeed,0.614015,1.530513,174,HorizontalPatternDetection,VerticalPatternDetection,,,7,,3,1,0.034765
10197,LogTrimTaggingSpeed,1.539232,2.906397,12,,,,,,,,1,0.023533
10198,LogTrimTaggingSpeed,2.558781,5.892097,552,HorizontalPatternDetection,VerticalPatternDetection,,,22,,16,1,0.036793
10201,LogTrimTaggingSpeed,1.131453,2.190793,525,HorizontalPatternDetection,VerticalPatternDetection,,,22,,15,0.6,0.020859
10202,LogTrimTaggingSpeed,1.77685,3.426771,415,HorizontalPatternDetection,VerticalPatternDetection,,,18,,9,0.933333,0.027751
